Age_08_04,Mfg_Month,Mfg_Year,KM,HP,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Price
23,10,2002,46986,90,2000,3,4,5,210,1165,13500
23,10,2002,72937,90,2000,3,4,5,210,1165,13750
24,9,2002,41711,90,2000,3,4,5,210,1165,13950
26,7,2002,48000,90,2000,3,4,5,210,1165,14950
30,3,2002,38500,90,2000,3,4,5,210,1170,13750
32,1,2002,61000,90,2000,3,4,5,210,1170,12950
27,6,2002,94612,90,2000,3,4,5,210,1245,16900
30,3,2002,75889,90,2000,3,4,5,210,1245,18600
27,6,2002,19700,192,1800,3,4,5,100,1185,21500
23,10,2002,71138,69,1900,3,4,5,185,1105,12950
25,8,2002,31461,192,1800,3,4,6,100,1185,20950
22,11,2002,43610,192,1800,3,4,6,100,1185,19950
25,8,2002,32189,192,1800,3,4,6,100,1185,19600
31,2,2002,23000,192,1800,3,4,6,100,1185,21500
32,1,2002,34131,192,1800,3,4,6,100,1185,22500
28,5,2002,18739,192,1800,3,4,6,100,1185,22000
30,3,2002,34000,192,1800,3,4,5,100,1185,22750
24,9,2002,21716,110,1600,3,4,5,85,1105,17950
24,9,2002,25563,110,1600,3,4,5,19,1065,16750
30,3,2002,64359,110,1600,3,4,5,85,1105,16950
30,3,2002,67660,110,1600,3,4,5,85,1105,15950
29,4,2002,43905,110,1600,3,4,5,100,1170,16950
28,5,2002,56349,110,1600,3,4,5,85,1120,15950
28,5,2002,32220,110,1600,3,4,5,85,1120,16950
29,4,2002,25813,110,1600,3,4,5,85,1120,16250
25,8,2002,28450,110,1600,3,4,5,85,1120,15950
27,6,2002,34545,110,1600,3,4,5,85,1120,17495
29,4,2002,41415,110,1600,3,4,5,85,1120,15750
28,5,2002,44142,110,1600,3,4,5,85,1120,16950
30,3,2002,11090,110,1600,3,4,5,85,1120,17950
29,4,2002,9750,97,1400,3,4,5,19,1100,12950
22,11,2002,35199,97,1400,3,4,5,85,1100,15750
27,6,2002,29510,97,1400,3,4,5,85,1100,15950
26,7,2002,32692,97,1400,3,4,5,85,1100,14950
22,11,2002,41000,97,1400,3,4,5,85,1100,15500
26,7,2002,43000,97,1400,3,4,5,85,1100,15750
25,8,2002,25000,97,1400,3,4,5,85,1100,15950
23,10,2002,10000,97,1400,3,4,5,85,1100,14950
32,1,2002,25329,97,1400,3,4,5,85,1100,15750
27,6,2002,27500,97,1400,3,4,5,85,1100,14750
22,11,2002,49059,97,1400,3,4,5,85,1100,13950
27,6,2002,44068,97,1400,3,4,5,85,1100,16750
22,11,2002,46961,97,1400,3,4,5,85,1100,13950
27,6,2002,110404,90,2000,5,4,5,234,1255,16950
22,11,2002,100250,90,2000,5,4,5,234,1255,16950
23,10,2002,84000,90,2000,5,4,5,234,1270,19000
27,6,2002,79375,90,2000,5,4,5,234,1255,17950
22,11,2002,75048,97,1400,5,4,5,85,1110,15800
22,11,2002,72215,90,2000,5,4,5,234,1255,17950
31,2,2002,64982,192,1800,5,4,6,100,1195,21950
22,11,2002,62636,90,2000,5,4,5,234,1255,17950
30,3,2002,57086,97,1400,5,4,5,85,1110,15750
26,7,2002,56000,110,1600,5,4,5,100,1180,20500
27,6,2002,49866,192,1800,5,4,5,100,1195,21950
25,8,2002,49163,110,1600,5,4,5,100,1165,15500
32,1,2002,45725,110,1600,5,4,5,85,1075,13250
28,5,2002,43210,97,1400,5,4,5,85,1110,15250
26,7,2002,43000,97,1400,5,4,5,85,1110,15250
23,10,2002,39704,110,1600,5,4,5,100,1180,18950
30,3,2002,38950,110,1600,5,4,5,85,1130,15999
22,11,2002,37400,97,1400,5,4,5,85,1110,14950
27,6,2002,37177,110,1600,5,4,5,85,1130,16500
31,2,2002,36544,110,1600,5,4,5,85,1130,18750
30,3,2002,33511,110,1600,5,4,5,85,1130,17950
27,6,2002,32809,97,1400,5,4,5,85,1110,17950
26,7,2002,32181,110,1600,5,4,5,19,1075,16950
28,5,2002,30993,110,1600,5,4,5,85,1130,18950
22,11,2002,30400,97,1400,5,4,5,85,1110,14950
22,11,2002,30000,110,2000,5,4,5,234,1275,22250
25,8,2002,29719,97,1400,5,4,5,85,1110,15950
28,5,2002,29206,97,1400,5,4,5,85,1110,15950
32,1,2002,29198,97,1400,5,4,5,85,1060,12995
28,5,2002,28817,110,1598,5,4,5,85,1130,18950
23,10,2002,28227,97,1400,5,4,5,85,1110,15750
28,5,2002,28000,110,1600,5,4,5,85,1130,19950
23,10,2002,28000,110,1600,5,4,5,85,1115,16950
31,2,2002,25266,110,1600,5,4,5,85,1130,18750
27,6,2002,23489,110,1600,5,4,5,85,1115,18450
29,4,2002,22575,110,1600,5,4,5,85,1115,16895
30,3,2002,22000,97,1400,5,4,5,85,1110,14900
25,8,2002,20019,110,16000,5,4,5,100,1180,18950
29,4,2002,20000,110,1600,5,4,5,85,1115,17250
25,8,2002,17003,97,1400,5,4,5,85,1110,15450
31,2,2002,16238,110,1600,5,4,5,100,1180,17950
25,8,2002,15414,97,1400,5,4,5,85,1110,16650
28,5,2002,8537,110,1600,5,4,5,85,1130,17450
30,3,2002,7000,97,1400,5,4,5,85,1100,14900
20,1,2003,66966,90,2000,3,4,5,210,1245,17950
19,2,2003,51884,97,1400,3,4,5,85,1100,15950
19,2,2003,50005,110,2000,3,4,5,234,1265,21950
20,1,2003,48110,97,1400,3,4,5,85,1100,16450
20,1,2003,37500,90,2000,3,4,5,234,1260,22250
16,5,2003,34472,90,1995,3,4,5,234,1260,19950
20,1,2003,33329,97,1400,3,4,5,85,1100,15950
20,1,2003,31850,110,1600,3,4,5,85,1120,18900
17,4,2003,30351,90,1995,3,4,5,234,1260,19950
19,2,2003,29435,97,1400,3,4,5,85,1100,15950
19,2,2003,25948,97,1400,3,4,5,85,1100,15950
11,10,2003,24500,110,1600,3,4,5,85,1120,18750
18,3,2003,23902,97,1400,3,4,5,85,1100,17450
20,1,2003,23175,110,1600,3,4,5,85,1120,18990
19,2,2003,19200,97,1400,3,4,5,85,1100,16250
13,8,2003,18000,71,1400,3,4,5,85,1125,18500
11,10,2003,16123,110,1600,3,4,5,85,1105,18500
11,10,2003,14635,110,1600,3,4,5,100,1155,19450
19,2,2003,13748,97,1400,3,4,5,85,1100,16950
14,7,2003,11500,110,1600,3,4,5,69,1045,18800
17,4,2003,10000,97,1400,3,4,5,85,1100,17450
20,1,2003,7187,110,1600,3,4,5,85,1105,17950
4,5,2004,1,116,2000,5,4,5,283,1480,32500
4,5,2004,4000,116,2000,5,4,5,283,1480,31000
4,5,2004,1500,116,2000,5,4,5,283,1480,31275
8,1,2004,13253,116,2000,5,4,5,234,1320,24950
8,1,2004,13253,116,2000,5,4,5,234,1320,24950
7,2,2004,10000,116,2000,5,4,5,234,1270,22950
8,1,2004,6000,90,2000,5,4,5,234,1280,24990
8,1,2004,10841,90,2000,5,4,5,234,1270,21950
7,2,2004,1,110,1600,3,4,5,85,1105,17900
20,1,2003,63000,90,2000,5,4,5,234,1255,19250
17,4,2003,57313,110,2000,5,4,5,234,1275,22250
13,8,2003,57037,110,1600,5,4,5,85,1115,18950
19,2,2003,51099,90,2000,5,4,5,234,1255,19950
14,7,2003,40010,110,1600,5,4,5,85,1115,16350
20,1,2003,39115,110,1600,5,4,5,85,1130,18950
17,4,2003,36012,110,1600,5,4,5,85,1130,16950
16,5,2003,36000,110,1600,5,4,5,85,1130,21750
20,1,2003,36000,110,1600,5,4,5,19,1075,15950
20,1,2003,35000,97,1400,5,4,5,85,1110,16500
17,4,2003,33740,97,1400,5,4,5,85,1135,17950
13,8,2003,33477,110,1600,5,4,5,19,1075,15850
20,1,2003,32627,97,1400,5,4,5,85,1110,16250
20,1,2003,29797,97,1400,5,4,5,85,1110,15950
19,2,2003,29441,97,1400,5,4,5,85,1110,16250
13,8,2003,29371,110,1600,4,4,5,19,1105,15950
20,1,2003,29000,97,1400,5,4,5,85,1110,16500
19,2,2003,27821,97,1400,5,4,5,85,1110,16500
19,2,2003,27371,97,1400,5,4,5,85,1135,18450
13,8,2003,25170,110,1600,5,4,5,19,1105,16250
11,10,2003,25000,116,2000,5,4,5,64,1320,23000
20,1,2003,23000,110,1600,5,4,5,85,1130,19900
20,1,2003,22588,97,1400,5,4,5,85,1110,16450
19,2,2003,21684,192,1800,5,4,5,19,1185,23950
13,8,2003,21428,110,1600,5,4,5,85,1130,19950
16,5,2003,20629,110,1600,4,4,5,85,1090,18500
15,6,2003,20270,110,1600,5,4,5,85,1130,18950
16,5,2003,20105,97,1400,5,4,5,85,1110,16450
20,1,2003,20000,110,1600,5,4,5,100,1165,20500
13,8,2003,19988,110,1600,5,4,5,85,1130,24500
19,2,2003,18328,110,1600,5,4,5,85,1130,19450
14,7,2003,17896,110,1600,4,4,5,85,1150,20950
20,1,2003,17300,97,1400,5,4,5,85,1110,17200
19,2,2003,17038,110,1600,5,4,5,85,1130,19950
10,11,2003,13747,97,1400,5,4,5,85,1110,18450
12,9,2003,13634,110,1600,5,4,5,85,1115,19500
13,8,2003,13178,110,1600,5,4,5,85,1130,21750
15,6,2003,13157,97,1400,4,4,5,85,1085,16868
16,5,2003,13000,110,1600,4,4,5,85,1105,19500
11,10,2003,12500,110,1600,5,4,5,85,1115,18900
17,4,2003,11999,110,1600,5,4,5,85,1130,19750
16,5,2003,11754,110,1600,5,4,5,100,1180,19750
16,5,2003,11000,110,1600,4,4,5,85,1105,18950
17,4,2003,10000,110,1598,5,4,5,85,1105,20750
9,12,2003,7650,110,1600,5,4,5,85,1115,19600
14,7,2003,6500,110,1600,4,4,5,85,1100,19500
11,10,2003,6155,97,1400,5,4,5,85,1110,17650
14,7,2003,6000,110,1600,5,4,5,85,1130,19950
14,7,2003,5459,110,1600,5,4,5,85,1130,19950
14,7,2003,5278,110,1600,4,4,5,85,1150,20950
12,9,2003,5000,110,1600,5,4,5,85,1130,20500
9,12,2003,1,98,1400,4,4,5,19,1065,17795
9,12,2003,1,110,1600,5,4,5,19,1075,18245
8,1,2004,11000,110,1600,5,4,5,85,1130,23750
8,1,2004,10077,97,1400,5,4,5,85,1110,19500
8,1,2004,10000,97,1400,5,4,5,85,1110,18950
8,1,2004,9788,110,1600,5,4,5,85,1130,21950
8,1,2004,8574,110,1600,5,4,5,85,1130,19950
8,1,2004,7000,110,1600,5,4,5,85,1115,18950
7,2,2004,6250,110,1600,5,4,5,85,1115,19950
8,1,2004,5000,110,1600,5,4,5,85,1130,21950
6,3,2004,3000,110,1600,5,4,5,85,1130,22500
7,2,2004,2000,110,1600,5,4,5,19,1075,18500
7,2,2004,450,97,1400,5,4,5,85,1110,18700
2,7,2004,225,97,1400,5,4,5,85,1110,21125
2,7,2004,15,110,1600,5,4,5,85,1130,21500
1,8,2004,1,98,1400,4,4,5,19,1100,17795
1,8,2004,1,110,1600,5,4,5,19,1075,18245
43,2,2001,243000,69,1900,3,4,5,185,1110,6950
38,7,2001,180638,90,2000,4,4,5,210,1160,9500
40,5,2001,179860,90,2000,5,4,5,210,1205,11950
43,2,2001,178858,110,1600,3,4,5,197,1084,7750
40,5,2001,161000,69,1900,3,4,5,185,1105,11950
44,1,2001,158320,69,1800,5,4,5,64,1110,4350
44,1,2001,131273,69,1800,5,4,5,64,1110,4750
40,5,2001,130062,69,1900,5,4,5,185,1140,11750
41,4,2001,123425,69,1900,5,4,5,185,1140,13250
37,8,2001,118217,110,1600,5,4,5,85,1075,11950
44,1,2001,110000,69,1900,5,4,5,185,1095,11900
39,6,2001,108847,90,2000,5,4,5,210,1205,14750
42,3,2001,105699,97,1400,3,4,5,69,1025,9950
39,6,2001,98823,110,1600,5,4,5,197,1119,11950
44,1,2001,96829,110,1600,5,4,5,85,1075,11495
40,5,2001,96518,97,1400,3,4,5,69,1025,11250
42,3,2001,92204,110,1600,5,4,5,85,1075,10500
35,10,2001,91456,69,1900,3,4,5,185,1110,10450
43,2,2001,89968,69,1900,5,4,5,185,1140,12950
44,1,2001,89757,110,1600,3,4,5,69,1045,11500
40,5,2001,85389,110,1600,5,4,5,85,1075,12500
43,2,2001,85017,97,1400,5,4,5,85,1060,10950
41,4,2001,84312,110,1600,5,4,5,85,1080,11450
37,8,2001,82743,110,1600,5,4,5,197,1121,11950
41,4,2001,81106,69,1900,5,4,5,185,1140,13250
40,5,2001,80425,90,2000,5,4,5,210,1205,14750
34,11,2001,78677,110,1600,5,4,5,85,1105,11790
40,5,2001,78425,110,1600,5,4,5,85,1075,11450
33,12,2001,78108,90,2000,3,4,5,210,1170,13500
33,12,2001,77321,110,1600,5,4,5,85,1075,10950
33,12,2001,75699,69,1900,3,4,5,185,1105,13500
41,4,2001,75697,97,1400,3,4,5,69,1025,10950
44,1,2001,74846,97,1400,3,4,5,69,1025,10950
38,7,2001,74319,110,1600,5,4,5,85,1075,12950
43,2,2001,74285,110,1600,5,4,5,85,1075,11950
44,1,2001,74172,110,1600,5,4,5,163,1615,12450
40,5,2001,73042,110,1598,5,4,5,85,1075,11950
44,1,2001,71793,110,1600,4,4,5,197,1067,14950
35,10,2001,71200,110,1600,5,4,5,85,1075,12450
38,7,2001,67805,110,1600,5,4,5,85,1075,12950
35,10,2001,65988,110,1600,3,4,5,69,1040,11950
34,11,2001,65345,97,1400,5,4,5,85,1060,11690
42,3,2001,64564,110,1600,5,4,5,85,1080,12450
36,9,2001,63459,97,1400,5,4,5,85,1060,12750
44,1,2001,63451,97,1400,3,4,5,69,1025,11925
33,12,2001,62000,110,1600,5,4,5,19,1075,12950
42,3,2001,61300,97,1400,3,4,5,69,1030,11950
41,4,2001,61200,110,1600,3,4,5,69,1045,12900
41,4,2001,61000,110,1600,5,4,5,85,1075,11900
38,7,2001,60829,110,1600,5,4,5,85,1075,11650
44,1,2001,60500,110,1600,5,4,5,85,1075,10950
35,10,2001,59500,69,1900,3,4,5,64,1110,13950
44,1,2001,59000,110,1600,5,4,5,85,1110,13950
40,5,2001,58954,110,1600,5,4,5,85,1080,11950
38,7,2001,58798,110,1600,5,4,5,85,1075,10950
38,7,2001,58363,110,1600,3,4,5,85,1055,12450
43,2,2001,58277,110,1600,3,4,5,69,1045,11950
33,12,2001,57711,90,2000,3,4,5,210,1165,13500
33,12,2001,57269,110,1600,5,4,5,85,1075,11690
39,6,2001,56001,110,1600,5,4,5,85,1075,13500
42,3,2001,55968,110,1600,3,4,5,69,1050,11950
39,6,2001,55678,110,1600,4,4,5,69,1030,12900
43,2,2001,55539,110,1600,5,4,5,85,1085,13500
42,3,2001,55400,110,1600,5,4,5,85,1075,11750
33,12,2001,55350,110,1600,5,4,5,85,1075,11750
43,2,2001,54600,110,1600,4,4,5,69,1030,10850
43,2,2001,53773,110,1600,5,4,5,85,1075,11750
42,3,2001,53719,110,1600,5,4,5,85,1105,14950
39,6,2001,53644,110,1600,5,4,5,19,1075,9940
42,3,2001,53350,110,1600,5,4,5,85,1075,12900
38,7,2001,53000,110,1600,5,4,5,85,1075,13500
44,1,2001,52084,97,1400,3,4,5,69,1025,11750
44,1,2001,52000,97,1400,3,4,5,69,1025,11950
33,12,2001,51945,110,1600,5,4,5,85,1075,13450
41,4,2001,51732,97,1400,3,4,5,69,1025,11950
39,6,2001,50873,110,1600,5,4,5,85,1075,12495
41,4,2001,50856,110,1600,4,4,5,69,1030,13500
40,5,2001,50640,110,1600,5,4,5,85,1075,12750
39,6,2001,50000,97,1400,5,4,5,85,1060,12000
38,7,2001,49500,110,1600,5,4,5,85,1075,11950
44,1,2001,49332,110,1600,5,4,5,85,1080,12495
34,11,2001,49291,110,1600,3,4,5,69,1040,12450
40,5,2001,48952,90,2000,5,4,5,210,1205,14750
39,6,2001,48945,110,1600,3,4,5,69,1040,10950
33,12,2001,48928,69,1900,3,4,5,185,1105,13500
38,7,2001,48197,110,1600,5,4,5,85,1075,12950
35,10,2001,48052,69,1900,3,4,5,185,1105,13500
34,11,2001,48011,110,1600,4,4,5,69,1030,13450
43,2,2001,48000,110,1600,5,4,5,85,1075,13500
41,4,2001,47350,110,1600,5,4,5,85,1075,11480
39,6,2001,46821,97,1400,5,4,5,85,1060,13450
39,6,2001,46694,110,1600,3,4,5,69,1040,11495
43,2,2001,46515,97,1400,5,4,5,69,1025,12750
38,7,2001,46327,110,1600,3,4,5,85,1055,14990
35,10,2001,46304,97,1400,5,4,5,85,1060,12950
40,5,2001,45886,110,1600,5,4,5,85,1080,12950
39,6,2001,45713,97,1400,5,4,5,19,1085,12850
40,5,2001,45600,110,1600,5,4,5,85,1105,13950
41,4,2001,45287,110,1600,5,4,5,85,1075,11950
39,6,2001,45081,110,1600,5,4,5,85,1075,12950
40,5,2001,44830,110,1600,5,4,5,85,1075,11700
37,8,2001,44757,97,1400,3,4,5,69,1025,9950
44,1,2001,44218,97,1400,5,4,5,85,1060,11895
43,2,2001,43632,110,1600,5,4,5,85,1075,12950
36,9,2001,43427,110,1600,3,4,5,69,1040,12500
39,6,2001,43254,110,1600,5,4,5,85,1075,13875
35,10,2001,43000,110,1600,3,4,5,69,1050,10500
33,12,2001,42823,110,1600,5,4,5,85,1075,12295
42,3,2001,42560,110,1600,5,4,5,85,1080,13950
38,7,2001,41754,110,1600,3,4,5,69,1040,10950
44,1,2001,41499,110,1600,5,4,5,197,1103,12950
40,5,2001,41339,110,1600,5,4,5,85,1080,12850
35,10,2001,41000,110,1600,5,4,5,85,1075,13995
39,6,2001,40000,110,1600,3,4,5,85,1055,13750
37,8,2001,39757,110,1600,5,4,5,85,1075,12750
41,4,2001,39659,110,1600,3,4,5,69,1045,12500
43,2,2001,39650,110,1600,3,4,5,85,1055,13950
39,6,2001,39524,97,1398,3,4,5,69,1025,11500
44,1,2001,39516,97,1400,5,4,5,85,1060,13950
41,4,2001,39439,97,1400,5,4,5,85,1060,11895
44,1,2001,39000,97,1400,3,4,5,69,1025,9950
42,3,2001,38932,110,1600,3,4,5,69,1040,13500
37,8,2001,38812,97,1400,3,4,5,69,1025,11450
42,3,2001,38665,110,1600,5,4,5,85,1075,12450
40,5,2001,38653,110,1600,5,4,5,85,1080,12950
44,1,2001,38461,110,1600,5,4,5,85,1080,13995
42,3,2001,38078,97,1400,3,4,5,69,1025,11750
39,6,2001,37782,97,1400,5,4,5,85,1060,11650
43,2,2001,37576,97,1400,3,4,5,69,1030,9950
41,4,2001,37533,110,1600,5,4,5,85,1075,13950
44,1,2001,37389,110,1600,5,4,5,85,1080,12950
38,7,2001,37320,97,1400,3,4,5,69,1025,10950
42,3,2001,37000,97,1400,3,4,5,69,1025,9900
44,1,2001,37000,110,1600,4,4,5,19,1075,11950
40,5,2001,36566,110,1600,5,4,5,85,1090,11990
36,9,2001,36269,110,1600,5,4,5,85,1075,10750
37,8,2001,36074,110,1600,5,4,5,19,1075,13950
44,1,2001,36066,110,1600,3,4,5,69,1040,11250
39,6,2001,34599,110,1600,5,4,5,85,1075,12950
41,4,2001,34000,110,1600,5,4,5,85,1075,11950
42,3,2001,33623,97,1400,3,4,5,69,1025,10950
33,12,2001,33591,110,1600,5,4,5,85,1075,12950
35,10,2001,33258,110,1600,5,4,5,85,1075,12950
43,2,2001,33113,110,1600,5,4,5,85,1075,11695
41,4,2001,33000,110,1600,5,4,6,19,1075,11000
35,10,2001,32941,110,1600,5,4,5,85,1080,13950
38,7,2001,32781,110,1600,5,4,5,85,1075,11950
40,5,2001,32532,110,1600,3,4,5,69,1040,11750
34,11,2001,32431,97,1400,5,4,5,85,1060,12400
35,10,2001,32000,110,1600,3,4,5,69,1040,12500
33,12,2001,31000,110,1600,5,4,5,19,1075,12900
41,4,2001,30989,110,1600,3,4,5,69,1045,12200
43,2,2001,30742,110,1600,3,4,5,69,1040,12750
42,3,2001,30190,110,1600,5,4,5,85,1075,11950
41,4,2001,29716,116,1600,5,4,5,85,1075,11900
44,1,2001,29716,110,1600,3,4,5,85,1070,11950
42,3,2001,29640,110,1600,3,4,5,85,1055,14950
41,4,2001,29056,97,1400,5,4,5,85,1060,11950
33,12,2001,28715,110,1600,5,4,5,85,1075,12950
41,4,2001,28571,110,1600,5,4,5,85,1090,14950
40,5,2001,28362,110,1600,3,4,5,69,1040,13450
38,7,2001,28150,110,1600,5,4,5,85,1075,13750
43,2,2001,27301,110,1600,3,4,5,69,1040,12950
33,12,2001,27240,110,1600,5,4,5,85,1075,12750
39,6,2001,27170,97,1400,5,4,5,85,1060,11895
42,3,2001,27141,97,1400,5,4,5,85,1060,9950
38,7,2001,26262,110,1600,5,4,5,85,1075,12450
38,7,2001,26000,97,1400,5,4,5,85,1060,12500
